Cache size,Associativity,Block size,Speed up
4,1,8,0.9824510261194029
4,1,16,0.9884154031146436
4,1,32,0.9900123377004877
4,1,64,0.8489168765743073
4,1,128,0.8394231487708287
4,1,512,0.775008048567355
4,2,8,0.9921398922547028
4,2,16,0.9965109402720284
4,2,32,0.9999703290508264
4,2,64,0.9947168029278947
4,2,128,0.9861883303095921
4,2,512,0.8431401981386971
4,4,8,0.9908273064032457
4,4,16,0.9947461629279811
4,4,32,0.998489023197938
4,4,64,1.0015750839549467
4,4,128,1.003364196611986
4,4,512,0.9887343777503961
4,8,8,0.992110685899323
4,8,16,0.9951867710025101
4,8,32,0.9982228540963214
4,8,64,1.00160485021398
4,8,128,1.0030655674276021
4,8,512,0.992285949829231
8,1,8,0.990506980161646
8,1,16,0.9969236230254985
8,1,32,1.0009801300899939
8,1,64,0.8511895741779058
8,1,128,0.8436889801231663
8,1,512,0.793753974422384
8,2,8,1.010463826342458
8,2,16,1.0143871899831447
8,2,32,1.0165289256198347
8,2,64,1.012984670874662
8,2,128,1.009404576494549
8,2,512,0.970903433970961
8,4,8,1.0123456790123457
8,4,16,1.016559587367659
8,4,32,1.0189877244965835
8,4,64,1.01997457781006
8,4,128,1.0200363196125908
8,4,512,1.0171425122230942
8,8,8,1.0101912355374378
8,8,16,1.0142956029734853
8,8,32,1.016712923856643
8,8,64,1.0176031885020682
8,8,128,1.0179412830735775
8,8,512,1.0157017570296254
16,1,8,0.9933973943288334
16,1,16,0.9990217874610938
16,1,32,1.0034239437877752
16,1,64,1.0065406325598065
16,1,128,1.0044407355527076
16,1,512,0.9671143250688706
16,2,8,1.0159773302785482
16,2,16,1.0191726140074997
16,2,32,1.0209014903671392
16,2,64,1.0191109767160569
16,2,128,1.0167435967055842
16,2,512,0.9973661625876712
16,4,8,1.014937059567548
16,4,16,1.017572463768116
16,4,32,1.0191417944298284
16,4,64,1.0200363196125908
16,4,128,1.020839643787484
16,4,512,1.0213965329130805
16,8,8,1.0151816374480391
16,8,16,1.0178183136023196
16,8,32,1.0192959109605613
16,8,64,1.0201289463328995
16,8,128,1.0209014903671392
16,8,512,1.0216442342670062
32,1,8,1.0051597124876972
32,1,16,1.0101004046156152
32,1,32,1.013593984962406
32,1,64,1.0161917684305743
32,1,128,1.014937059567548
32,1,512,0.9956277695716397
32,2,8,1.0149064956183937
32,2,16,1.017633915091491
32,2,32,1.0192342587552168
32,2,64,1.0201598256447513
32,2,128,1.0209633444410784
32,2,512,1.0216442342670062
32,4,8,1.015732368896926
32,4,16,1.018125793003444
32,4,32,1.0194809123358946
32,4,64,1.0203142502497653
32,4,128,1.0210252060106642
32,4,512,1.0217371532514778
32,8,8,1.004830053667263
32,8,16,1.0071121204876883
32,8,32,1.0083777152773623
32,8,64,1.0091929929630183
32,8,128,1.009888529306005
32,8,512,1.010585025038232
